id,limit_bal,sex,education,marriage,age,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,util_1,pay_ratio_1,util_2,pay_ratio_2,util_3,pay_ratio_3,util_4,pay_ratio_4,util_5,pay_ratio_5,util_6,pay_ratio_6,avg_util,misspay_cnt
26995,400000,1,1,1,34,-1,-1,-2,-1,-1,-1,43711,37077,70369,15283,17668,4841,37954,71577,15973,18285,4875,647,0.1092775,0.8682940220997003,0.0926925,1.9304959948215874,0.1759225,0.22698915715727097,0.0382075,1.1964274029967938,0.04417,0.27592257188136743,0.0121025,0.13365007229911174,0.07872875,0
9988,10000,1,1,2,27,0,0,0,0,0,-1,6599,7736,8492,8138,4990,1598,1400,1000,1009,1000,1598,0,0.6599,0.21215335656917714,0.7736,0.12926577042399173,0.8492,0.1188177107866227,0.8138,0.1228803145736053,0.499,0.32024048096192387,0.1598,0.0,0.6258833333333335,0
10745,280000,1,1,1,45,2,2,2,2,2,2,2482,2482,2482,2482,2482,2482,0,0,0,0,0,18,0.008864285714285713,0.0,0.008864285714285713,0.0,0.008864285714285713,0.0,0.008864285714285713,0.0,0.008864285714285713,0.0,0.008864285714285713,0.007252215954875101,0.008864285714285713,6
16483,50000,2,3,2,56,1,-2,-2,-2,-1,-1,0,0,0,0,562,736,0,0,0,562,736,1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.01124,1.309608540925267,0.01472,1.7241847826086956,0.004326666666666667,1
11074,100000,2,3,1,39,0,0,0,0,0,-1,4247,4097,6314,3410,1396,1640,1283,2500,1500,1000,1700,300,0.04247,0.3020955968919237,0.04097,0.61020258725897,0.06314,0.23756731073804244,0.0341,0.2932551319648094,0.01396,1.2177650429799427,0.0164,0.18292682926829268,0.03517333333333333,0
21708,10000,2,1,2,23,3,2,2,0,0,0,7067,8092,7820,8824,8996,9182,1291,0,1295,467,479,480,0.7067,0.18268006226121408,0.8092,0.0,0.782,0.1656010230179028,0.8824,0.052923844061650044,0.8996,0.053245887060915965,0.9182,0.05227619255064256,0.8330166666666666,3
14651,210000,1,1,2,31,2,-1,-1,0,-1,-1,1172,380,1552,776,776,1359,380,1552,0,776,1359,20302,0.005580952380952381,0.3242320819112628,0.0018095238095238095,4.08421052631579,0.00739047619047619,0.0,0.003695238095238095,1.0,0.003695238095238095,1.7512886597938144,0.0064714285714285716,14.938925680647534,0.004773809523809524,1
20188,500000,2,1,2,33,-1,-1,-1,-1,-1,-2,249,2655,249,99,-150,-150,2655,249,99,150,0,0,0.000498,10.662650602409638,0.00531,0.09378531073446328,0.000498,0.39759036144578314,0.000198,1.5151515151515151,-0.0003,-0.0,-0.0003,-0.0,0.000984,0
6520,150000,1,1,2,37,-2,-2,-2,-2,-2,-2,120,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333334,0
23224,300000,2,1,1,31,0,0,0,0,0,0,147277,149893,152529,152882,113347,114554,7000,7000,6000,4084,4056,4300,0.4909233333333333,0.04752948525567468,0.49964333333333333,0.04669997931858059,0.50843,0.03933678185787621,0.5096066666666667,0.02671341295901414,0.37782333333333334,0.03578392017433192,0.38184666666666667,0.03753688216910802,0.46137888888888884,0
9328,230000,2,1,2,28,-1,-1,-1,-1,-1,-1,12089,2306,13827,11686,46963,15962,2306,13835,11686,46963,15962,1596,0.05256086956521739,0.19075192323599968,0.010026086956521739,5.999566348655681,0.060117391304347824,0.8451580241556376,0.05080869565217391,4.018740373096012,0.20418695652173913,0.3398845899963801,0.0694,0.09998747024182433,0.07451666666666666,0
10248,120000,2,2,1,35,1,-2,-2,-2,-1,2,0,0,0,0,54683,2657,0,0,0,54683,0,2239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54683.0,0.45569166666666666,0.0,0.022141666666666667,0.8426797139631163,0.07963888888888888,2
28365,80000,2,2,1,35,1,2,2,2,2,2,30997,32043,31250,34109,34802,34108,1852,0,3711,1550,0,1400,0.3874625,0.059747717521050424,0.4005375,0.0,0.390625,0.118752,0.4263625,0.04544255181916796,0.435025,0.0,0.42635,0.04104608889410109,0.41106041666666665,6
16984,50000,2,3,2,22,0,0,0,0,0,0,18108,18512,19468,16989,17326,17748,1400,1300,2800,619,700,1000,0.36216,0.07731389441130992,0.37024,0.0702247191011236,0.38936,0.14382576535853708,0.33978,0.03643534051445053,0.34652,0.04040170841509869,0.35496,0.05634437683119225,0.36050333333333334,0
12085,60000,1,1,2,27,0,0,0,0,0,2,21387,22416,23444,26038,28607,27997,1378,1406,3000,3000,0,923,0.35645,0.06443166409501098,0.3736,0.06272305496074233,0.3907333333333333,0.1279645111755673,0.43396666666666667,0.11521622244412014,0.47678333333333334,0.0,0.4666166666666667,0.03296781798049791,0.41635833333333333,1
10287,50000,2,2,1,56,0,0,0,0,0,0,48836,48049,47060,19171,18624,18923,2000,2000,1000,1000,1000,1000,0.97672,0.04095339503644852,0.96098,0.041624175321026455,0.9412,0.021249468763280918,0.38342,0.05216211986855146,0.37248,0.05369415807560137,0.37846,0.05284574327537917,0.6688766666666667,0
24851,280000,1,1,1,32,0,0,0,0,0,0,284556,265099,270705,278771,283434,259699,9500,10750,12500,11000,9600,9200,1.0162714285714285,0.03338534418532732,0.9467821428571429,0.0405508885359809,0.9668035714285714,0.0461757263441754,0.9956107142857142,0.039458910718833735,1.0122642857142856,0.033870319016067234,0.9274964285714286,0.03542562736090628,0.9775380952380953,0
4942,50000,2,2,2,31,0,0,0,0,0,0,20451,20426,19894,20294,20145,20175,1600,1600,1000,900,1000,1000,0.40902,0.07823578309129138,0.40852,0.0783315382355821,0.39788,0.050266411983512616,0.40588,0.04434808317729378,0.4029,0.04964010920824026,0.4035,0.04956629491945477,0.4046166666666667,0
9313,200000,1,3,1,69,0,0,0,0,0,0,83858,66979,65728,64490,53186,52136,3207,3042,2100,2008,2508,2000,0.41929,0.038243220682582464,0.334895,0.04541722032278774,0.32864,0.03194985394352483,0.32245,0.03113661032718251,0.26593,0.04715526642349491,0.26068,0.03836120914531226,0.3219808333333333,0
